Well name,Group Answer,Date,Ground Elevation(masl),Datum Elevation(masl),Surveyed Stickup(m),Total Depth of Piezometer(mbgs),Bottom of Piezometer Elevation(masl),Depth Interval of Screen(mbgs),Elevation Interval of Screen(masl),Depth Interval of Sand(mbgs),Elevation Interval of Sand(masl),Time(hh:mm),Observed Depth to Groundwater(mbtoc),Observed Depth to Groundwater(mbgs),Depth to Product(mbtoc),Observed Product Thickness(m),Corrected Product Thickness(m),Corrected Depth to Groundwater(mbtoc),Corrected Depth to Groundwater(mbgs),Observed Groundwater Surface Elevation(masl),Corrected Groundwater Surface Elevation(masl),Depth to Bottom of Well(mbtoc),Measured Stick up(m),Easting(m),Northing(m)
05-53,Shallow,18-Oct-16,949.62,951.18,1.56,7.5,942.12,4.50 - 7.50,945.12 - 942.12,N/A,N/A,14:05,6.37,4.81,,N/A,N/A,6.37,4.81,944.81,944.81,N/M,N/M,645573.48,5867638.767
05-53,Shallow,30-May-17,949.62,951.18,1.56,7.5,942.12,4.50 - 7.50,945.12 - 942.12,N/A,N/A,10:05,4.69,3.13,,N/A,N/A,4.69,3.13,946.49,946.49,N/M,N/M,645573.48,5867638.767
05-53,Shallow,17-Oct-17,949.62,951.18,1.56,7.5,942.12,4.50 - 7.50,945.12 - 942.12,N/A,N/A,13:55,5.28,3.72,,N/A,N/A,5.28,3.72,945.9,945.9,8.36,N/M,645573.48,5867638.767
05-53,Shallow,15-May-18,949.62,951.18,1.56,7.5,942.12,4.50 - 7.50,945.12 - 942.12,N/A,N/A,14:00,7.05,5.49,,N/A,N/A,7.05,5.49,944.13,944.13,8.37,N/M,645573.48,5867638.767
05-53,Shallow,10-Oct-18,949.62,951.18,1.56,7.5,942.12,4.50 - 7.50,945.12 - 942.12,N/A,N/A,13:05,6.88,5.32,,N/A,N/A,6.88,5.32,944.3,944.3,N/M,N/M,645573.48,5867638.767
05-54,Shallow,07-Jun-16,949.95,951.18,1.23,6,943.95,5.00 - 6.00,944.95 - 943.95,N/A,N/A,13:15,3.32,2.09,,N/A,N/A,3.32,2.09,947.86,947.86,6.7,N/M,645602.462,5867660.6
05-54,Shallow,18-Oct-16,949.95,951.18,1.23,6,943.95,5.00 - 6.00,944.95 - 943.95,N/A,N/A,15:50,2.65,1.42,,N/A,N/A,2.65,1.42,948.53,948.53,6.61,N/M,645602.462,5867660.6
05-54,Shallow,30-May-17,949.95,951.18,1.23,6,943.95,5.00 - 6.00,944.95 - 943.95,N/A,N/A,13:20,2.2,0.97,,N/A,N/A,2.2,0.97,948.98,948.98,N/M,N/M,645602.462,5867660.6
05-54,Shallow,17-Oct-17,949.95,951.18,1.23,6,943.95,5.00 - 6.00,944.95 - 943.95,N/A,N/A,15:50,2.44,1.21,,N/A,N/A,2.44,1.21,948.74,948.74,N/M,N/M,645602.462,5867660.6
05-54,Shallow,15-May-18,949.95,951.18,1.23,6,943.95,5.00 - 6.00,944.95 - 943.95,N/A,N/A,13:30,3.38,2.15,,N/A,N/A,3.38,2.15,947.8,947.8,6.69,N/M,645602.462,5867660.6
05-54,Shallow,11-Oct-18,950.03,950.88,0.85,6,943.95,5.00 - 6.00,944.95 - 943.95,N/A,N/A,11:33,4.11,3.26,,N/A,N/A,4.11,3.26,946.77,946.77,N/M,N/M,645602.462,5867660.6
05-54,Shallow,12-Oct-18,950.03,950.88,0.85,6,943.95,5.00 - 6.00,944.95 - 943.95,N/A,N/A,---,3.83,2.98,,N/A,N/A,3.83,2.98,947.05,947.05,N/M,N/M,645602.462,5867660.6
05-56,Shallow,07-Jun-16,949.96,951.18,1.22,3.9,946.06,0.90 - 3.90,949.06 - 946.06,N/A,N/A,13:21,3.69,2.474,3.66,0.03,0.024,3.666,2.45,947.49,947.514,5.16,N/M,645602.632,5867657.507
05-56,Shallow,18-Oct-16,949.96,951.18,1.22,3.9,946.06,0.90 - 3.90,949.06 - 946.06,N/A,N/A,13:35,3.579,2.363,3.517,0.062,0.05,3.529,2.313,947.601,947.651,N/M,N/M,645602.632,5867657.507
05-56,Shallow,30-May-17,949.96,951.18,1.22,3.9,946.06,0.90 - 3.90,949.06 - 946.06,N/A,N/A,13:25,3.15,1.934,3.04,0.11,0.088,3.062,1.846,948.03,948.118,N/M,N/M,645602.632,5867657.507
05-56,Shallow,31-Aug-17,949.96,951.18,1.22,3.9,946.06,0.90 - 3.90,949.06 - 946.06,N/A,N/A,---,3.79,2.57,,N/A,N/A,3.79,2.57,947.39,947.39,N/M,N/M,645602.632,5867657.507
05-56,Shallow,17-Oct-17,949.96,951.18,1.22,3.9,946.06,0.90 - 3.90,949.06 - 946.06,N/A,N/A,16:00,3.96,2.74,,N/A,N/A,3.96,2.74,947.22,947.22,5.16,N/M,645602.632,5867657.507
05-56,Shallow,15-May-18,949.96,951.18,1.22,3.9,946.06,0.90 - 3.90,949.06 - 946.06,N/A,N/A,13:40,4,2.78,,N/A,N/A,4,2.78,947.18,947.18,N/M,N/M,645602.632,5867657.507
05-56,Shallow,11-Oct-18,950.03,950.9,0.87,3.9,946.06,0.90 - 3.90,949.06 - 946.06,N/A,N/A,11:29,3.84,2.97,,N/A,N/A,3.84,2.97,947.06,947.06,N/M,N/M,645602.632,5867657.507
05-56,Shallow,12-Oct-18,950.03,950.9,0.87,3.9,946.06,0.90 - 3.90,949.06 - 946.06,N/A,N/A,---,3.32,2.45,,N/A,N/A,3.32,2.45,947.58,947.58,N/M,N/M,645602.632,5867657.507
05-57,Shallow,07-Jun-16,950.26,951.2,0.93,4.5,945.76,1.50 - 4.50,948.76 - 945.76,N/A,N/A,14:15,2.39,1.46,,N/A,N/A,2.39,1.46,948.81,948.81,3.37,N/M,645633.806,5867660.485
05-57,Shallow,18-Oct-16,950.26,951.2,0.93,4.5,945.76,1.50 - 4.50,948.76 - 945.76,N/A,N/A,15:05,1.73,0.8,,N/A,N/A,1.73,0.8,949.47,949.47,3.32,N/M,645633.806,5867660.485
05-57,Shallow,30-May-17,950.26,951.2,0.93,4.5,945.76,1.50 - 4.50,948.76 - 945.76,N/A,N/A,12:10,1.07,0.14,,N/A,N/A,1.07,0.14,950.13,950.13,N/M,N/M,645633.806,5867660.485
05-57,Shallow,17-Oct-17,950.26,951.2,0.93,4.5,945.76,1.50 - 4.50,948.76 - 945.76,N/A,N/A,15:40,1.77,0.84,,N/A,N/A,1.77,0.84,949.43,949.43,3.35,N/M,645633.806,5867660.485
05-57,Shallow,15-May-18,950.26,951.2,0.93,4.5,945.76,1.50 - 4.50,948.76 - 945.76,N/A,N/A,15:40,2.83,1.9,,N/A,N/A,2.83,1.9,948.37,948.37,N/M,N/M,645633.806,5867660.485
05-57,Shallow,10-Oct-18,950.26,951.2,0.93,4.5,945.76,1.50 - 4.50,948.76 - 945.76,N/A,N/A,14:00,1.81,0.88,,N/A,N/A,1.81,0.88,949.39,949.39,N/M,N/M,645633.806,5867660.485
05-57,Shallow,12-Oct-18,950.26,951.2,0.93,4.5,945.76,1.50 - 4.50,948.76 - 945.76,N/A,N/A,---,1.7,0.76,,N/A,N/A,1.7,0.76,949.5,949.5,N/M,N/M,645633.806,5867660.485
05-58,Shallow,07-Jun-16,950.89,951.92,1.04,4.5,946.39,1.50 - 4.50,949.39 - 946.39,N/A,N/A,14:20,2.71,1.67,,N/A,N/A,2.71,1.67,949.21,949.21,5.21,N/M,645659.277,5867664.637
05-58,Shallow,18-Oct-16,950.89,951.92,1.04,4.5,946.39,1.50 - 4.50,949.39 - 946.39,N/A,N/A,15:15,2.16,1.12,,N/A,N/A,2.16,1.12,949.76,949.76,N/M,N/M,645659.277,5867664.637
05-58,Shallow,30-May-17,950.89,951.92,1.04,4.5,946.39,1.50 - 4.50,949.39 - 946.39,N/A,N/A,11:50,1.39,0.35,,N/A,N/A,1.39,0.35,950.53,950.53,N/M,N/M,645659.277,5867664.637
05-58,Shallow,17-Oct-17,950.89,951.92,1.04,4.5,946.39,1.50 - 4.50,949.39 - 946.39,N/A,N/A,14:53,1.95,0.91,,N/A,N/A,1.95,0.91,949.97,949.97,5.2,N/M,645659.277,5867664.637
05-58,Shallow,15-May-18,950.89,951.92,1.04,4.5,946.39,1.50 - 4.50,949.39 - 946.39,N/A,N/A,15:45,3.29,2.25,,N/A,N/A,3.29,2.25,948.63,948.63,N/M,N/M,645659.277,5867664.637
05-58,Shallow,10-Oct-18,950.89,951.92,1.04,4.5,946.39,1.50 - 4.50,949.39 - 946.39,N/A,N/A,14:05,2.31,1.27,,N/A,N/A,2.31,1.27,949.61,949.61,N/M,N/M,645659.277,5867664.637
06-64,Shallow,07-Jun-16,951.21,952.19,0.98,5,946.21,2.00 - 5.00,949.21 - 946.21,N/A,N/A,10:56,3.7,2.72,,N/A,N/A,3.7,2.72,948.49,948.49,5.94,N/M,645638.05,5867716.983
06-64,Shallow,19-Oct-16,951.21,952.19,0.98,5,946.21,2.00 - 5.00,949.21 - 946.21,N/A,N/A,8:25,2.96,1.98,,N/A,N/A,2.96,1.98,949.23,949.23,N/M,N/M,645638.05,5867716.983
06-64,Shallow,30-May-17,951.21,952.19,0.98,5,946.21,2.00 - 5.00,949.21 - 946.21,N/A,N/A,12:00,2.53,1.55,,N/A,N/A,2.53,1.55,949.66,949.66,N/M,N/M,645638.05,5867716.983
06-64,Shallow,17-Oct-17,951.21,952.19,0.98,5,946.21,2.00 - 5.00,949.21 - 946.21,N/A,N/A,15:07,2.42,1.44,,N/A,N/A,2.42,1.44,949.77,949.77,5.88,N/M,645638.05,5867716.983
06-64,Shallow,15-May-18,951.21,952.19,0.98,5,946.21,2.00 - 5.00,949.21 - 946.21,N/A,N/A,15:50,3.74,2.76,,N/A,N/A,3.74,2.76,948.45,948.45,N/M,N/M,645638.05,5867716.983
06-64,Shallow,12-Oct-18,951.21,952.19,0.98,5,946.21,2.00 - 5.00,949.21 - 946.21,N/A,N/A,12:15,3.07,2.09,,N/A,N/A,3.07,2.09,949.12,949.12,N/M,N/M,645638.05,5867716.983
06-65,Shallow,07-Jun-16,951.56,952.46,0.91,5,946.56,2.00 - 5.00,949.56 - 946.56,N/A,N/A,14:40,3.38,2.47,,N/A,N/A,3.38,2.47,949.08,949.08,6.02,N/M,645670.677,5867687.532
06-65,Shallow,18-Oct-16,951.56,952.46,0.91,5,946.56,2.00 - 5.00,949.56 - 946.56,N/A,N/A,15:30,2.69,1.78,,N/A,N/A,2.69,1.78,949.77,949.77,5.94,N/M,645670.677,5867687.532
06-65,Shallow,30-May-17,951.56,952.46,0.91,5,946.56,2.00 - 5.00,949.56 - 946.56,N/A,N/A,11:55,2.15,1.24,,N/A,N/A,2.15,1.24,950.31,950.31,N/M,N/M,645670.677,5867687.532
06-65,Shallow,17-Oct-17,951.56,952.46,0.91,5,946.56,2.00 - 5.00,949.56 - 946.56,N/A,N/A,15:05,2.41,1.5,,N/A,N/A,2.41,1.5,950.05,950.05,6.01,N/M,645670.677,5867687.532
06-65,Shallow,15-May-18,951.56,952.46,0.91,5,946.56,2.00 - 5.00,949.56 - 946.56,N/A,N/A,15:55,3.93,3.02,,N/A,N/A,3.93,3.02,948.53,948.53,N/M,N/M,645670.677,5867687.532
06-65,Shallow,10-Oct-18,951.56,952.46,0.91,5,946.56,2.00 - 5.00,949.56 - 946.56,N/A,N/A,14:25,2.77,1.86,,N/A,N/A,2.77,1.86,949.69,949.69,6.02,N/M,645670.677,5867687.532
06-66,Shallow,07-Jun-16,950.29,951.28,1,5.4,944.89,2.40 - 5.40,947.89 - 944.89,N/A,N/A,14:30,3.44,2.444,3.435,0.005,0.004,3.436,2.44,947.843,947.847,5.63,N/M,645608.668,5867683.672
06-66,Shallow,19-Oct-16,950.29,951.28,1,5.4,944.89,2.40 - 5.40,947.89 - 944.89,N/A,N/A,8:30,2.855,1.859,2.85,0.005,0.004,2.851,1.855,948.428,948.432,N/M,N/M,645608.668,5867683.672
06-66,Shallow,30-May-17,950.29,951.28,1,5.4,944.89,2.40 - 5.40,947.89 - 944.89,N/A,N/A,13:50,2.14,1.14,,N/A,N/A,2.14,1.14,949.14,949.14,N/M,N/M,645608.668,5867683.672
06-66,Shallow,17-Oct-17,950.29,951.28,1,5.4,944.89,2.40 - 5.40,947.89 - 944.89,N/A,N/A,15:45,2.48,1.48,,N/A,N/A,2.48,1.48,948.8,948.8,5.62,N/M,645608.668,5867683.672
06-66,Shallow,15-May-18,950.29,951.28,1,5.4,944.89,2.40 - 5.40,947.89 - 944.89,N/A,N/A,16:00,3.6,2.6,,N/A,N/A,3.6,2.6,947.68,947.68,N/M,N/M,645608.668,5867683.672
06-66,Shallow,10-Oct-18,950.29,951.28,1,5.4,944.89,2.40 - 5.40,947.89 - 944.89,N/A,N/A,14:40,3.094,2.098,3.08,0.014,0.011,3.083,2.087,948.189,948.2,N/M,N/M,645608.668,5867683.672
06-66,Shallow,12-Oct-18,950.29,951.28,1,5.4,944.89,2.40 - 5.40,947.89 - 944.89,N/A,N/A,---,3.39,2.39,,N/A,N/A,3.39,2.39,947.89,947.89,N/M,N/M,645608.668,5867683.672
35156,Shallow,07-Jun-16,952.73,952.98,0.25,5,947.73,2.00 - 5.00,950.73 - 947.73,N/A,N/A,15:25,2.05,1.8,,N/A,N/A,2.05,1.8,950.93,950.93,7.12,N/M,645754.812,5867809.177
35156,Shallow,19-Oct-16,952.73,952.98,0.25,5,947.73,2.00 - 5.00,950.73 - 947.73,N/A,N/A,11:06,1.51,1.26,,N/A,N/A,1.51,1.26,951.47,951.47,N/M,N/M,645754.812,5867809.177
35156,Shallow,31-May-17,952.73,952.98,0.25,5,947.73,2.00 - 5.00,950.73 - 947.73,N/A,N/A,11:00,1.61,1.36,,N/A,N/A,1.61,1.36,951.37,951.37,7.28,N/M,645754.812,5867809.177
35156,Shallow,18-Oct-17,952.73,952.98,0.25,5,947.73,2.00 - 5.00,950.73 - 947.73,N/A,N/A,16:20,1.75,1.5,,N/A,N/A,1.75,1.5,951.23,951.23,7.21,N/M,645754.812,5867809.177
35156,Shallow,16-May-18,952.73,952.98,0.25,5,947.73,2.00 - 5.00,950.73 - 947.73,N/A,N/A,11:20,2.46,2.21,,N/A,N/A,2.46,2.21,950.52,950.52,7.34,N/M,645754.812,5867809.177
35156,Shallow,11-Oct-18,952.73,952.98,0.25,5,947.73,2.00 - 5.00,950.73 - 947.73,N/A,N/A,9:25,1.57,1.32,,N/A,N/A,1.57,1.32,951.41,951.41,N/M,N/M,645754.812,5867809.177
35156,Shallow,26-Oct-18,952.73,952.98,0.25,5,947.73,2.00 - 5.00,950.73 - 947.73,N/A,N/A,---,1.8,1.55,,N/A,N/A,1.8,1.55,951.18,951.18,N/M,N/M,645754.812,5867809.177
35187,Shallow,07-Jun-16,952.52,953.13,0.61,5,947.52,2.00 - 5.00,950.52 - 947.52,N/A,N/A,9:25,2.47,1.86,,N/A,N/A,2.47,1.86,950.66,950.66,6.76,N/M,645680.193,5867809.622
35187,Shallow,18-Oct-16,952.52,953.13,0.61,5,947.52,2.00 - 5.00,950.52 - 947.52,N/A,N/A,10:45,1.83,1.22,,N/A,N/A,1.83,1.22,951.3,951.3,N/M,N/M,645680.193,5867809.622
35187,Shallow,30-May-17,952.52,953.13,0.61,5,947.52,2.00 - 5.00,950.52 - 947.52,N/A,N/A,16:05,2.01,1.4,,N/A,N/A,2.01,1.4,951.12,951.12,N/M,N/M,645680.193,5867809.622
35187,Shallow,18-Oct-17,952.52,953.13,0.61,5,947.52,2.00 - 5.00,950.52 - 947.52,N/A,N/A,14:05,1.94,1.33,,N/A,N/A,1.94,1.33,951.19,951.19,6.77,N/M,645680.193,5867809.622
35187,Shallow,16-May-18,952.52,953.13,0.61,5,947.52,2.00 - 5.00,950.52 - 947.52,N/A,N/A,8:20,3.05,2.44,,N/A,N/A,3.05,2.44,950.08,950.08,N/M,N/M,645680.193,5867809.622
35187,Shallow,10-Oct-18,952.52,953.13,0.61,5,947.52,2.00 - 5.00,950.52 - 947.52,N/A,N/A,13:00,1.92,1.31,,N/A,N/A,1.92,1.31,951.21,951.21,6.77,N/M,645680.193,5867809.622
35247,Shallow,07-Jun-16,952.34,953.72,1.38,5,947.34,2.00 - 5.00,950.34 - 947.34,N/A,N/A,13:20,3.21,1.83,,N/A,N/A,3.21,1.83,950.51,950.51,7.17,N/M,645694.788,5867739.492
35247,Shallow,19-Oct-16,952.34,953.72,1.38,5,947.34,2.00 - 5.00,950.34 - 947.34,N/A,N/A,10:50,5.56,4.18,,N/A,N/A,5.56,4.18,948.16,948.16,N/M,N/M,645694.788,5867739.492
35247,Shallow,30-May-17,952.34,953.72,1.38,5,947.34,2.00 - 5.00,950.34 - 947.34,N/A,N/A,15:15,2.49,1.11,,N/A,N/A,2.49,1.11,951.23,951.23,N/M,N/M,645694.788,5867739.492
35247,Shallow,18-Oct-17,952.34,953.72,1.38,5,947.34,2.00 - 5.00,950.34 - 947.34,N/A,N/A,14:15,2.66,1.28,,N/A,N/A,2.66,1.28,951.06,951.06,7.13,N/M,645694.788,5867739.492
35247,Shallow,16-May-18,952.34,953.72,1.38,5,947.34,2.00 - 5.00,950.34 - 947.34,N/A,N/A,8:10,3.48,2.1,,N/A,N/A,3.48,2.1,950.24,950.24,N/M,N/M,645694.788,5867739.492
35247,Shallow,10-Oct-18,952.34,953.72,1.38,5,947.34,2.00 - 5.00,950.34 - 947.34,N/A,N/A,15:40,2.73,1.35,,N/A,N/A,2.73,1.35,950.99,950.99,7.13,N/M,645694.788,5867739.492
96-13-2,Shallow,06-Jun-16,951.19,951.74,0.55,5,946.19,2.00 - 5.00,949.19 - 946.19,N/A,N/A,16:25,7.57,7.02,,N/A,N/A,7.57,7.02,944.17,944.17,7.73,N/M,645730.868,5867929.738
96-13-2,Shallow,18-Oct-16,951.19,951.74,0.55,5,946.19,2.00 - 5.00,949.19 - 946.19,N/A,N/A,10:37,5.37,4.82,,N/A,N/A,5.37,4.82,946.37,946.37,N/M,N/M,645730.868,5867929.738
96-13-2,Shallow,29-May-17,951.19,951.74,0.55,5,946.19,2.00 - 5.00,949.19 - 946.19,N/A,N/A,13:20,5.03,4.48,,N/A,N/A,5.03,4.48,946.71,946.71,N/M,N/M,645730.868,5867929.738
96-13-2,Shallow,18-Oct-17,951.19,951.74,0.55,5,946.19,2.00 - 5.00,949.19 - 946.19,N/A,N/A,17:20,5.17,4.62,,N/A,N/A,5.17,4.62,946.57,946.57,N/M,N/M,645730.868,5867929.738
96-13-2,Shallow,16-May-18,951.19,951.74,0.55,5,946.19,2.00 - 5.00,949.19 - 946.19,N/A,N/A,10:35,5.36,4.81,,N/A,N/A,5.36,4.81,946.38,946.38,7.73,N/M,645730.868,5867929.738
96-13-2,Shallow,10-Oct-18,951.19,951.74,0.55,5,946.19,2.00 - 5.00,949.19 - 946.19,N/A,N/A,11:05,4.81,4.26,,N/A,N/A,4.81,4.26,946.93,946.93,N/M,N/M,645730.868,5867929.738
01-38-2,Shallow,07-Jun-16,953.23,953.9,0.67,8,945.23,5.00 - 8.00,948.23 - 945.23,N/A,N/A,8:40,4.6,3.93,,N/A,N/A,4.6,3.93,949.3,949.3,8.45,N/M,645671.935,5867876.935
01-38-2,Shallow,18-Oct-16,953.23,953.9,0.67,8,945.23,5.00 - 8.00,948.23 - 945.23,N/A,N/A,10:10,2.36,1.69,,N/A,N/A,2.36,1.69,951.54,951.54,N/M,N/M,645671.935,5867876.935
01-38-2,Shallow,31-May-17,953.23,953.9,0.67,8,945.23,5.00 - 8.00,948.23 - 945.23,N/A,N/A,16:40,2.08,1.41,,N/A,N/A,2.08,1.41,951.82,951.82,N/M,N/M,645671.935,5867876.935
01-38-2,Shallow,18-Oct-17,953.23,953.9,0.67,8,945.23,5.00 - 8.00,948.23 - 945.23,N/A,N/A,17:45,N/M,N/M,,N/A,N/A,N/A,N/A,N/A,N/A,N/M,N/M,645671.935,5867876.935
01-38-2,Shallow,17-May-18,953.23,953.9,0.67,8,945.23,5.00 - 8.00,948.23 - 945.23,N/A,N/A,9:10,4.1,3.43,,N/A,N/A,4.1,3.43,949.8,949.8,8.41,N/M,645671.935,5867876.935
01-38-2,Shallow,12-Oct-18,953.23,953.9,0.67,8,945.23,5.00 - 8.00,948.23 - 945.23,N/A,N/A,10:25,2.5,1.83,,N/A,N/A,2.5,1.83,951.4,951.4,N/M,N/M,645671.935,5867876.935
35278,Shallow,07-Jun-16,952.54,953.06,0.52,5,947.54,2.00 - 5.00,950.54 - 947.54,N/A,N/A,15:35,3.05,2.53,,N/A,N/A,3.05,2.53,950.01,950.01,7.78,N/M,645698.17,5867670.803
35278,Shallow,19-Oct-16,952.54,953.06,0.52,5,947.54,2.00 - 5.00,950.54 - 947.54,N/A,N/A,9:05,2.41,1.89,,N/A,N/A,2.41,1.89,950.65,950.65,N/M,N/M,645698.17,5867670.803
35278,Shallow,31-May-17,952.54,953.06,0.52,5,947.54,2.00 - 5.00,950.54 - 947.54,N/A,N/A,8:45,1.93,1.41,,N/A,N/A,1.93,1.41,951.13,951.13,N/M,N/M,645698.17,5867670.803
35278,Shallow,17-Oct-17,952.54,953.06,0.52,5,947.54,2.00 - 5.00,950.54 - 947.54,N/A,N/A,15:27,2.26,1.74,,N/A,N/A,2.26,1.74,950.8,950.8,7.78,N/M,645698.17,5867670.803
35278,Shallow,15-May-18,952.54,953.06,0.52,5,947.54,2.00 - 5.00,950.54 - 947.54,N/A,N/A,15:40,3.8,3.28,,N/A,N/A,3.8,3.28,949.26,949.26,N/M,N/M,645698.17,5867670.803
35278,Shallow,10-Oct-18,952.54,953.06,0.52,5,947.54,2.00 - 5.00,950.54 - 947.54,N/A,N/A,14:15,2.83,2.31,,N/A,N/A,2.83,2.31,950.23,950.23,7.78,N/M,645698.17,5867670.803
97-19,Shallow,07-Jun-16,952.03,952.75,0.72,6,946.03,3.00 - 6.00,949.03 - 946.03,N/A,N/A,14:25,2.68,1.96,,N/A,N/A,2.68,1.96,950.07,950.07,6.55,N/M,645683.006,5867639.95
97-19,Shallow,18-Oct-16,952.03,952.75,0.72,6,946.03,3.00 - 6.00,949.03 - 946.03,N/A,N/A,14:50,1.76,1.04,,N/A,N/A,1.76,1.04,950.99,950.99,N/M,N/M,645683.006,5867639.95
97-19,Shallow,30-May-17,952.03,952.75,0.72,6,946.03,3.00 - 6.00,949.03 - 946.03,N/A,N/A,16:55,1.79,1.07,,N/A,N/A,1.79,1.07,950.96,950.96,N/M,N/M,645683.006,5867639.95
97-19,Shallow,17-Oct-17,952.03,952.75,0.72,6,946.03,3.00 - 6.00,949.03 - 946.03,N/A,N/A,15:15,2.13,1.41,,N/A,N/A,2.13,1.41,950.62,950.62,6.54,N/M,645683.006,5867639.95
97-19,Shallow,15-May-18,952.03,952.75,0.72,6,946.03,3.00 - 6.00,949.03 - 946.03,N/A,N/A,15:45,3.16,2.44,,N/A,N/A,3.16,2.44,949.59,949.59,N/M,N/M,645683.006,5867639.95
97-19,Shallow,10-Oct-18,952.03,952.75,0.72,6,946.03,3.00 - 6.00,949.03 - 946.03,N/A,N/A,13:30,2.41,1.69,,N/A,N/A,2.41,1.69,950.34,950.34,6.55,N/M,645683.006,5867639.95
TH6B,Shallow,07-Jun-16,953.3,953.6,0.3,3.4,949.9,3.20 - 3.40,950.10 - 949.90,N/A,N/A,17:10,> 2.24,> 1.94,,N/A,N/A,> 2.24,> 1.94,< 951.36,< 951.36,2.24,N/M,645811,5867641
TH6B,Shallow,19-Oct-16,953.3,953.6,0.3,3.4,949.9,3.20 - 3.40,950.10 - 949.90,N/A,N/A,9:30,1.53,1.23,,N/A,N/A,1.53,1.23,952.07,952.07,N/M,N/M,645811,5867641
TH6B,Shallow,30-May-17,953.3,953.6,0.3,3.4,949.9,3.20 - 3.40,950.10 - 949.90,N/A,N/A,9:00,1.69,1.39,,N/A,N/A,1.69,1.39,951.91,951.91,N/M,N/M,645811,5867641
35065,Shallow,06-Jun-16,952.56,953.1,0.54,6.5,946.06,3.50 - 6.50,949.06 - 946.06,N/A,N/A,16:00,6.16,5.62,,N/A,N/A,6.16,5.62,946.94,946.94,8.63,N/M,645849.626,5867739.616
35065,Shallow,19-Oct-16,952.56,953.1,0.54,6.5,946.06,3.50 - 6.50,949.06 - 946.06,N/A,N/A,10:12,4.3,3.76,,N/A,N/A,4.3,3.76,948.8,948.8,N/M,N/M,645849.626,5867739.616
35065,Shallow,31-May-17,952.56,953.1,0.54,6.5,946.06,3.50 - 6.50,949.06 - 946.06,N/A,N/A,10:00,4.4,3.86,,N/A,N/A,4.4,3.86,948.7,948.7,N/M,N/M,645849.626,5867739.616
35065,Shallow,18-Oct-17,952.56,953.1,0.54,6.5,946.06,3.50 - 6.50,949.06 - 946.06,N/A,N/A,16:35,4.85,4.31,,N/A,N/A,4.85,4.31,948.25,948.25,N/M,N/M,645849.626,5867739.616
35065,Shallow,16-May-18,952.56,953.1,0.54,6.5,946.06,3.50 - 6.50,949.06 - 946.06,N/A,N/A,12:20,6.99,6.45,,N/A,N/A,6.99,6.45,946.11,946.11,8.62,N/M,645849.626,5867739.616
35065,Shallow,10-Oct-18,952.56,953.1,0.54,6.5,946.06,3.50 - 6.50,949.06 - 946.06,N/A,N/A,17:55,5,4.46,,N/A,N/A,5,4.46,948.1,948.1,N/M,N/M,645849.626,5867739.616
35125,Shallow,07-Jun-16,952.41,952.87,0.46,7,945.41,3.90 - 7.00,948.51 - 945.41,N/A,N/A,16:30,3.41,2.95,,N/A,N/A,3.41,2.95,949.46,949.46,8.86,N/M,645818.705,5867807.413
35125,Shallow,19-Oct-16,952.41,952.87,0.46,7,945.41,3.90 - 7.00,948.51 - 945.41,N/A,N/A,10:25,2.16,1.7,,N/A,N/A,2.16,1.7,950.71,950.71,N/M,N/M,645818.705,5867807.413
35125,Shallow,31-May-17,952.41,952.87,0.46,7,945.41,3.90 - 7.00,948.51 - 945.41,N/A,N/A,10:45,2.79,2.33,,N/A,N/A,2.79,2.33,950.08,950.08,8.87,N/M,645818.705,5867807.413
35125,Shallow,18-Oct-17,952.41,952.87,0.46,7,945.41,3.90 - 7.00,948.51 - 945.41,N/A,N/A,15:35,2.66,2.2,,N/A,N/A,2.66,2.2,950.21,950.21,8.87,N/M,645818.705,5867807.413
35125,Shallow,16-May-18,952.41,952.87,0.46,7,945.41,3.90 - 7.00,948.51 - 945.41,N/A,N/A,11:05,4.49,4.03,,N/A,N/A,4.49,4.03,948.38,948.38,8.86,N/M,645818.705,5867807.413
35125,Shallow,11-Oct-18,952.41,952.87,0.46,7,945.41,3.90 - 7.00,948.51 - 945.41,N/A,N/A,9:18,2.29,1.83,,N/A,N/A,2.29,1.83,950.58,950.58,8.86,N/M,645818.705,5867807.413
35125,Shallow,26-Oct-18,952.41,952.87,0.46,7,945.41,3.90 - 7.00,948.51 - 945.41,N/A,N/A,---,2.51,2.05,,N/A,N/A,2.51,2.05,950.36,950.36,N/M,N/M,645818.705,5867807.413
01-37-2,Shallow,07-Jun-16,951.21,951.7,0.49,7,944.21,3.45 - 7.00,947.76 - 944.21,N/A,N/A,8:50,4.42,3.93,,N/A,N/A,4.42,3.93,947.28,947.28,6.87,N/M,645805.773,5867874.962
01-37-2,Shallow,19-Oct-16,951.21,951.7,0.49,7,944.21,3.45 - 7.00,947.76 - 944.21,N/A,N/A,11:58,3.52,3.03,,N/A,N/A,3.52,3.03,948.18,948.18,N/M,N/M,645805.773,5867874.962
01-37-2,Shallow,29-May-17,951.21,951.7,0.49,7,944.21,3.45 - 7.00,947.76 - 944.21,N/A,N/A,13:50,3.89,3.4,,N/A,N/A,3.89,3.4,947.81,947.81,N/M,N/M,645805.773,5867874.962
